Configuration	stm32H743_temp
STM32CubeMX 	4.27.0
Date	11/25/2018
MCU	STM32H743IITx



PERIPHERALS	MODES	FUNCTIONS	PINS
ADC1	IN5 Differential	ADC1_INP5	PB1
ADC1	IN5 Differential	ADC1_INN5	PB0
ADC2	IN5 Differential	ADC2_INP5	PB1
ADC2	IN5 Differential	ADC2_INN5	PB0
ADC3	IN1 Differential	ADC3_INP1	PC3_C
ADC3	IN1 Differential	ADC3_INN1	PC2_C
DAC1	Connected to external pin and to on chip-peripherals	DAC1_OUT1	PA4
FDCAN1	FD	FDCAN1_RX	PI9
FDCAN1	FD	FDCAN1_TX	PH13
FMC:NOR Flash/PSRAM/SRAM/ROM/LCD 1	NE1	FMC_NE1	PC7
FMC:NOR Flash/PSRAM/SRAM/ROM/LCD 1	SRAM	FMC_NOE	PD4
FMC:NOR Flash/PSRAM/SRAM/ROM/LCD 1	SRAM	FMC_NWE	PD5
FMC:NOR Flash/PSRAM/SRAM/ROM/LCD 1	19 bits	FMC_A0	PF0
FMC:NOR Flash/PSRAM/SRAM/ROM/LCD 1	19 bits	FMC_A1	PF1
FMC:NOR Flash/PSRAM/SRAM/ROM/LCD 1	19 bits	FMC_A2	PF2
FMC:NOR Flash/PSRAM/SRAM/ROM/LCD 1	19 bits	FMC_A3	PF3
FMC:NOR Flash/PSRAM/SRAM/ROM/LCD 1	19 bits	FMC_A4	PF4
FMC:NOR Flash/PSRAM/SRAM/ROM/LCD 1	19 bits	FMC_A5	PF5
FMC:NOR Flash/PSRAM/SRAM/ROM/LCD 1	19 bits	FMC_A6	PF12
FMC:NOR Flash/PSRAM/SRAM/ROM/LCD 1	19 bits	FMC_A7	PF13
FMC:NOR Flash/PSRAM/SRAM/ROM/LCD 1	19 bits	FMC_A8	PF14
FMC:NOR Flash/PSRAM/SRAM/ROM/LCD 1	19 bits	FMC_A9	PF15
FMC:NOR Flash/PSRAM/SRAM/ROM/LCD 1	19 bits	FMC_A10	PG0
FMC:NOR Flash/PSRAM/SRAM/ROM/LCD 1	19 bits	FMC_A11	PG1
FMC:NOR Flash/PSRAM/SRAM/ROM/LCD 1	19 bits	FMC_A12	PG2
FMC:NOR Flash/PSRAM/SRAM/ROM/LCD 1	19 bits	FMC_A13	PG3
FMC:NOR Flash/PSRAM/SRAM/ROM/LCD 1	19 bits	FMC_A14	PG4
FMC:NOR Flash/PSRAM/SRAM/ROM/LCD 1	19 bits	FMC_A15	PG5
FMC:NOR Flash/PSRAM/SRAM/ROM/LCD 1	19 bits	FMC_A16	PD11
FMC:NOR Flash/PSRAM/SRAM/ROM/LCD 1	19 bits	FMC_A17	PD12
FMC:NOR Flash/PSRAM/SRAM/ROM/LCD 1	19 bits	FMC_A18	PD13
